Sugathadasa Outdoor Stadium,6.947951,79.868438,Stadium,Arts & Entertainment,138,57
K.Cyril C. Perera Mawatha,6.950500,79.867361,Road,Travel & Transport,22,2
Sugathadasa Stadium,6.948087,79.868203,Athletics & Sports,Outdoors & Recreation,235,128
Awwal Zaviya,6.946554,79.871522,Tea Room,Food,28,16
Sugathadasa Indoor Stadium,6.946216,79.867268,Stadium,Arts & Entertainment,1100,549
HNB ATM,6.950095,79.864178,ATM,Shop & Service,3,2
St. Lucia's Cathedral,6.948026,79.863997,Church,Professional & Other Places,444,137
Sugathadasa Stadium,6.945595,79.867448,Playground,Outdoors & Recreation,417,145
La Salle English School,6.948325,79.867268,School,Professional & Other Places,3,2
JDC Graphic Systems (Pvt) Ltd.,6.944360,79.870481,Design Studio,Shop & Service,4,2
Grandpass City (SET),6.945917,79.871747,Other Great Outdoors,Outdoors & Recreation,329,125
Capital Bus Stand,6.945042,79.865178,Bus Station,Travel & Transport,11,3
Kosgashandiya,6.946336,79.871703,Bus Line,Travel & Transport,40,19
Sugathadasa Stadium,6.948866,79.872775,College Track,College & University,155,73
St. Benedict's Street,6.950036,79.864582,General Travel,Travel & Transport,130,31
Hotel Grandpass,6.946513,79.871577,Bed & Breakfast,Travel & Transport,13,8
Mayfield Road,6.949896,79.864910,Road,Travel & Transport,364,17
Bosch Center,6.945865,79.865064,Automotive Shop,Shop & Service,18,13
Lalan Safety Products (Pvt) Ltd,6.944957,79.870554,Office,Professional & Other Places,5,2
344,6.951025,79.867667,Hardware Store,Shop & Service,8,2
Edna Group of Companies,6.944020,79.869007,Office,Professional & Other Places,79,9
Glory Apartment,6.949932,79.864844,Residential Building (Apartment / Condo),Residence,662,6
Kotahena Church,6.950357,79.865053,Church,Professional & Other Places,6,4
Senok,6.943754,79.867568,Auto Garage,Shop & Service,18,8
Cargills Food City Grandpass,6.944461,79.867175,Market,Shop & Service,34,18
Orugodawatta,6.943589,79.878402,General Travel,Travel & Transport,3415,858
Ingurukade Junction,6.950810,79.874322,Bus Station,Travel & Transport,1509,297
WNS,6.944254,79.878413,Office,Professional & Other Places,73,7
Alnitak Building,6.945351,79.878856,Building,Professional & Other Places,55,2
Laugfs Filling Station,6.942828,79.878631,Gas Station,Shop & Service,404,204
Sampath Bank,6.942922,79.878478,Bank,Shop & Service,43,15
New Wheels Mart,6.946565,79.878145,Car Wash,Shop & Service,18,9
Port Access Road Junction,6.948999,79.873371,Road,Travel & Transport,7,6
Kosgas Junction,6.948989,79.878396,Bus Station,Travel & Transport,98,35
City Line Bus,6.951079,79.873985,Bus Line,Travel & Transport,4,3
Sampath Bank - Orugodawattha,6.942914,79.878325,Bank,Shop & Service,7,4
Sirimavo Bandaranayake Mawatha,6.950443,79.873415,Road,Travel & Transport,52,9
St. Joseph's Church,6.949099,79.873579,Church,Professional & Other Places,16,9
Earth International,6.947056,79.878633,General College & University,College & University,24,15
Kelaniya Bridge,6.950694,79.873759,General College & University,College & University,12,5
Laughs Sun Up Maligawatha,6.943045,79.878221,Convenience Store,Shop & Service,18,15
Sri Somaloka Buddhist Temple,6.943546,79.877774,Temple,Professional & Other Places,5,5
Logiventures (pvt) Ltd,6.952285,79.882328,Office,Professional & Other Places,58,12
Kelanitissa Combined Cycle Power Plant,6.951090,79.876974,Factory,Professional & Other Places,8,3
United Motors Workshop,6.947600,79.881463,Gas Station,Shop & Service,153,72
automobile engineering training institute,6.949479,79.878872,College Engineering Building,College & University,19,5
St.Benedict's Cricket Ground,6.949781,79.878052,College Cricket Pitch,College & University,13,13
Ambatale Road,6.948204,79.885680,Road,Travel & Transport,21,6
J.L. Morison Son & Jones (Ceylon) PLC,6.950806,79.905869,Office,Professional & Other Places,2,2
Kelaniya Rajamaha Viharaya,6.951590,79.918038,Buddhist Temple,Professional & Other Places,1773,839
Don & Sons Bakers,6.950191,79.914556,Bakery,Food,22,18
Kohilawatta,6.945658,79.912058,Road,Travel & Transport,41,5
People's Bank,6.950734,79.917283,Bank,Shop & Service,6,4
Thanuja Hotel and Bakers,6.950965,79.917863,Bakery,Food,4,2
St. Anne's Church,6.950146,79.912686,Church,Professional & Other Places,24,8
Kelaniya bus stand,6.953030,79.917376,Bus Station,Travel & Transport,19,12
Buddhist Book Center Kelaniya Rajamaha Viharaya,6.951553,79.917939,Bookstore,Shop & Service,8,5
Kalaniya Bus Stand,6.953477,79.918961,Bus Station,Travel & Transport,495,48
Vintage Teas Ceylon (Pvt) Ltd,6.946209,79.931526,Office,Professional & Other Places,16,3
Water World,6.944490,79.942403,Aquarium,Arts & Entertainment,255,225
Fonterra Brands Lanka,6.947256,79.991975,Office,Professional & Other Places,884,128
Biyagama,6.947906,79.991287,Bus Station,Travel & Transport,200,107
MAS Active - NVS,6.953140,80.003809,Coworking Space,Professional & Other Places,39,4
MAS Active Linea Intimo,6.954329,80.009842,Factory,Professional & Other Places,79,27
Malwana Town,6.948071,80.015389,Road,Travel & Transport,164,17
Che adventures,6.950916,80.099530,Campground,Outdoors & Recreation,8,8
Hustlers Paintball,6.950947,80.099351,Paintball Field,Outdoors & Recreation,130,119
Seethawaka Regions,6.944968,80.197687,Cultural Center,Professional & Other Places,8,7
Ranmuthu Restuarant,6.947889,80.199409,Café,Food,89,48
Cargills Food City,6.950408,80.213616,Convenience Store,Shop & Service,109,69
Avissawella Bus Stand,6.951996,80.213175,Bus Station,Travel & Transport,723,325
Great Selection,6.952200,80.215065,Clothing Store,Shop & Service,10,4
Royal Salon,6.951076,80.213147,Salon / Barbershop,Shop & Service,17,3
Standard Chartered Bank,6.936358,79.845318,Bank,Shop & Service,2252,236
TAPHOUSE by RnR,6.933702,79.843546,Bar,Nightlife Spot,3378,1387
President's Palace,6.934552,79.843245,Building,Professional & Other Places,40,32
& Co.,6.933960,79.842763,English Restaurant,Food,229,146
The t-Lounge on Chatham Street by Dilmah,6.934574,79.843478,Tea Room,Food,653,392
Steuart by Citrus,6.933952,79.842845,Hotel,Travel & Transport,227,168
Lighthouse Galley,6.936107,79.841089,Restaurant,Food,1908,1210
Grand Oriental Hotel,6.937428,79.845137,Hotel,Travel & Transport,876,566
Ruhunu Food Center,6.936076,79.846423,Asian Restaurant,Food,158,77
Pizza Hut,6.934389,79.844208,Pizza Place,Food,30,26
Colombo City Hotel,6.936154,79.841166,Hotel,Travel & Transport,677,429
ShamRock Club. Lounge,6.934484,79.843620,Cocktail Bar,Nightlife Spot,61,42
Main Gate,6.938576,79.842840,Government Building,Professional & Other Places,10,3
Colombo Harbor,6.938808,79.851105,Harbor / Marina,Outdoors & Recreation,977,391
Jami-Ul-Alfar Mosque (Red Mosque),6.938088,79.851696,Mosque,Professional & Other Places,689,168
Nizamiya Hotel,6.938697,79.851587,Asian Restaurant,Food,91,38
DSI Showroom,6.938099,79.851051,Sporting Goods Shop,Shop & Service,24,16
sareeta Textorium,6.937367,79.850236,Bridal Shop,Shop & Service,48,34
Ganesh Textiles,6.937328,79.850066,Clothing Store,Shop & Service,57,35
Latheefia Stores,6.938686,79.851461,Grocery Store,Shop & Service,28,18
Ram Bros,6.937742,79.849650,Clothing Store,Shop & Service,49,39
Lalitha Textiles,6.938276,79.851998,Clothing Store,Shop & Service,7,7
Bankshall Street,6.938492,79.851111,Road,Travel & Transport,92,35
Hotel Bankshall,6.938214,79.850925,Asian Restaurant,Food,239,31
SL Navy Rangalle,6.938457,79.849300,Military Base,Professional & Other Places,118,25
Hameedia,6.938036,79.851798,Men's Store,Shop & Service,163,100
Reclamation Road,6.938588,79.850887,Bus Line,Travel & Transport,49,17
Colorcraft Lanka ( pvt ) Ltd,6.938770,79.851953,Arts & Crafts Store,Shop & Service,35,2
Nanayakara Sports,6.937627,79.850033,Sporting Goods Shop,Shop & Service,3,2
Pulses Splitting & Processing Industry PVT LTD.,6.939299,79.851871,Office,Professional & Other Places,114,2
Harbour Bus Halt,6.938067,79.850083,Bus Station,Travel & Transport,93,27
Pettah Red Mosque,6.938373,79.851641,Mosque,Professional & Other Places,140,70
Sponge,6.940088,79.852046,Food Court,Food,18,18
golden cafe,6.938464,79.850810,Indian Restaurant,Food,234,17
ABC,6.938819,79.851517,Cosmetics Shop,Shop & Service,4,4
South Asia Gateway Terminal - Colombo Port,6.939296,79.848928,Harbor / Marina,Outdoors & Recreation,15,14
A E Gunasingha Vidyalaya,6.937958,79.848890,College Communications Building,College & University,2,2
sampath bank,6.938095,79.850635,Bank,Shop & Service,23,9
F.H.Associates & Co. (Pvt) Ltd.,6.938593,79.851177,Miscellaneous Shop,Shop & Service,56,4
Robert Agencies (Pvt) Ltd.,6.937776,79.850637,Electronics Store,Shop & Service,5,5
Maha Vidyalaya Mawatha,6.941950,79.860420,Road,Travel & Transport,190,16
Quarry Road,6.940522,79.862291,Road,Travel & Transport,58,20
Floor By Aluthkade!,6.938485,79.863024,Asian Restaurant,Food,71,26
Pettah-Negombo High Way Terminal,6.938274,79.858960,Bus Stop,Travel & Transport,7,2
hulftsdorp Steet,6.937764,79.861465,Road,Travel & Transport,14,2
buy4u,6.939447,79.860628,Cosmetics Shop,Shop & Service,4,3
Barber Street,6.942120,79.860989,Other Nightlife,Nightlife Spot,117,53
Srimath Bandaranayake Mawatha Colombo-12,6.938858,79.862570,Housing Development,Residence,23,9
Commercial Bank Hulftsdrop Branch,6.937428,79.859075,Bank,Shop & Service,5,3
Hakimi Distributors,6.939895,79.857893,Office,Professional & Other Places,23,2
Mr.Biriyani,6.938346,79.863035,Indian Chinese Restaurant,Food,34,17
Iqbal Hotel,6.939294,79.860541,Asian Restaurant,Food,267,74
Masjid Saad Bin Abi Wakkas,6.938273,79.862526,Mosque,Professional & Other Places,538,16
Rauf Nana Hotel,6.936985,79.859928,Asian Restaurant,Food,21,15
ginthupitiya road,6.943182,79.858167,Road,Travel & Transport,14,6
Adlo Color Separation,6.937457,79.859228,Office,Professional & Other Places,777,17
Manimalar Lodge,6.942925,79.860470,Hotel,Travel & Transport,2,2
Prince Plastics Industries Stores,6.940236,79.860508,Storage Facility,Shop & Service,171,10
Gangadara Associates (Law Firm),6.936873,79.859955,Lawyer,Shop & Service,23,2
Gas Kade Boarder,6.937366,79.861481,Social Club,Professional & Other Places,141,7
OJPL. BORDER,6.938825,79.861552,Lounge,Nightlife Spot,2002,24
Sri Kathir Velayutha Swami Temple,6.941427,79.857286,Temple,Professional & Other Places,14,12
Hameedia's,6.941955,79.861563,Clothing Store,Shop & Service,23,22
Aluth Kade Tea Pot,6.939226,79.862821,Asian Restaurant,Food,239,46
Asian Groups of Companies (PVT) LTD,6.941998,79.860584,Furniture / Home Store,Shop & Service,53,41
panadora,6.938439,79.862694,Road,Travel & Transport,3,3
Asian Hardware,6.941976,79.860134,Road,Travel & Transport,46,37
The Grand Mosque,6.940552,79.858933,Mosque,Professional & Other Places,58,41
Armour Street Bus Stop,6.943196,79.865140,Bus Stop,Travel & Transport,2533,457
Armour Street,6.942301,79.865441,Road,Travel & Transport,337,93
Sangaraja Mawatha,6.938963,79.866015,Road,Travel & Transport,94,19
Sri Vaani Villas,6.941613,79.864599,Indian Restaurant,Food,518,238
sea crest apartment,6.943524,79.864079,Residential Building (Apartment / Condo),Residence,41,2
A Baur & Co Ltd,6.942424,79.865687,Office,Professional & Other Places,123,27
Sulaimans Hospital,6.942034,79.865758,Hospital,Professional & Other Places,104,64
R. Premadasa (Khettarama) International Cricket Stadium,6.939612,79.872215,Cricket Ground,Arts & Entertainment,3045,1584
Grandpass Junction,6.942085,79.865211,Road,Travel & Transport,1146,273
Messenger Street,6.941831,79.864571,Road,Travel & Transport,67,15
Stadium Road,6.943863,79.865408,Road,Travel & Transport,12,5
Ketharama International Cricket Stadium,6.940935,79.871697,Playground,Outdoors & Recreation,12,12
Brighten Rest,6.941562,79.864139,Hotel,Travel & Transport,67,27
Mihiri Food,6.943727,79.864856,Sri Lankan Restaurant,Food,3,2
Sri Vajiragnana Mawatha Colombo -10,6.942566,79.865490,Road,Travel & Transport,8,6
Unilever Srilanka Limited,6.942547,79.870057,Office,Professional & Other Places,1633,176
the joint,6.939134,79.864548,Residential Building (Apartment / Condo),Residence,39,5
Chinna Chinna Aasai,6.941622,79.864396,Chaat Place,Food,4,4
Mascons Limited,6.940768,79.865892,Chaat Place,Food,34,16
Virtusa|Polaris,6.940592,79.879768,Office,Professional & Other Places,17026,696
